SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Polkadot,DOT,8/21/2020 23:59,3.090092668,2.730918684,2.896923286,2.875028269,49313136.83,0
2,Polkadot,DOT,8/22/2020 23:59,4.510613389,2.816761853,2.878570043,4.484690143,485801095.8,0
3,Polkadot,DOT,8/23/2020 23:59,4.487058365,3.716271054,4.487058365,3.967065692,320749483.2,0
4,Polkadot,DOT,8/24/2020 23:59,4.78315824,3.812669519,3.987413492,4.602614152,407690170.9,0
5,Polkadot,DOT,8/25/2020 23:59,5.76077535,4.501222746,4.584953246,5.523393007,898847538.5,0
6,Polkadot,DOT,8/26/2020 23:59,6.554688261,5.136205295,5.541405856,6.081716469,1054351759,0
7,Polkadot,DOT,8/27/2020 23:59,6.789179914,5.313926273,6.075772238,5.628337353,1289248953,0
8,Polkadot,DOT,8/28/2020 23:59,6.333746061,5.540963001,5.639485572,6.159954758,727162235,0
9,Polkadot,DOT,8/29/2020 23:59,6.562905829,6.042308827,6.17592465,6.159143225,527290028.3,0
10,Polkadot,DOT,8/30/2020 23:59,6.21950642,5.749977526,6.153439932,5.869880809,485335136.2,0
11,Polkadot,DOT,8/31/2020 23:59,6.459376786,5.772966048,5.905917588,6.300020215,512604781.5,0
12,Polkadot,DOT,9/1/2020 23:59,6.838898391,6.172323948,6.298809905,6.288766575,601527408.6,0
13,Polkadot,DOT,9/2/2020 23:59,6.432652406,5.657441785,6.282686213,6.139465241,584155027.7,5234800947
14,Polkadot,DOT,9/3/2020 23:59,6.318079311,5.682590153,6.131179304,5.747867754,763663456.7,4900906249
15,Polkadot,DOT,9/4/2020 23:59,5.981394812,4.62672016,5.726610178,5.146037892,845787793.2,4387757398
16,Polkadot,DOT,9/5/2020 23:59,5.31178363,3.653467852,5.136033381,4.122312597,805800384.9,3514880375
17,Polkadot,DOT,9/6/2020 23:59,4.901649589,3.759745304,4.137031926,4.79946794,924160481.9,4092255324
18,Polkadot,DOT,9/7/2020 23:59,4.820003375,4.032633369,4.796047798,4.594668645,675375182.7,3917633675
